None * 180
BufferLevel with seed=5677376522141428866, obst=0.13766058619453572, slab=0.006165705659346332, stairs=0.08790750535913543, stump=0.05968197980975448, gap=0.05968197980975448 regret=None
BufferLevel with seed=8257202481457559019, obst=0.12953812735985704, slab=0.09905447667816906, stairs=0.028065281534108245, stump=0.06877160693398301, gap=0.06877160693398301 regret=0.039670687168836594
BufferLevel with seed=2808838712919992997, obst=0.2552222560201842, slab=0.03146406888851351, stairs=0.08262039128363424, stump=0.06090194981888958, gap=0.06090194981888958 regret=0.03957298770546913
BufferLevel with seed=5439276505051938875, obst=0.17252074133344455, slab=0.08231647633313717, stairs=0.051146214101077836, stump=0.06182180180315449, gap=0.06182180180315449 regret=0.037237636744976044
BufferLevel with seed=3150205819152834939, obst=0.11594292081021347, slab=0.040537513022099486, stairs=0.08708507829425846, stump=0.004941287724290378, gap=0.004941287724290378 regret=0.03787330910563469
BufferLevel with seed=474953924214381476, obst=0.06478283194464671, slab=0.03361034047718257, stairs=0.06463928028941056, stump=0.010033749873763398, gap=0.010033749873763398 regret=0.041111841797828674
BufferLevel with seed=2302889662697001660, obst=0.24522017588863154, slab=0.08801034003863398, stairs=0.07173103162269795, stump=0.003554253065544866, gap=0.003554253065544866 regret=0.03942975029349327
BufferLevel with seed=2735396608294738917, obst=0.1821906692250116, slab=0.030361887452808912, stairs=0.0692368354326347, stump=0.05674380720798097, gap=0.05674380720798097 regret=0.04193398356437683

---------------------------------------

None * 180
BufferLevel with seed=5677376522141428866, obst=0.13766058619453572, slab=0.006165705659346332, stairs=0.08790750535913543, stump=0.05968197980975448, gap=0.05968197980975448 regret=0.033044517040252686
BufferLevel with seed=8083025200085833793, obst=0.0903981199831256, slab=0.07271834889770783, stairs=0.07771005506233934, stump=0.0052655385361385035, gap=0.0052655385361385035 regret=0.03787994757294655
BufferLevel with seed=6152131080217496808, obst=0.21619735356818254, slab=0.03085130134403652, stairs=0.09809613589753059, stump=0.01026857916635412, gap=0.01026857916635412 regret=None
BufferLevel with seed=3645048166145508822, obst=0.09496032072461276, slab=0.028980009208771442, stairs=0.00612520561774369, stump=0.06999147493362204, gap=0.06999147493362204 regret=0.03705379739403725
BufferLevel with seed=5511999525795652650, obst=0.161249083947877, slab=0.005211105936440097, stairs=0.003314171408430289, stump=0.03981836149474323, gap=0.03981836149474323 regret=0.0361730195581913
BufferLevel with seed=2696247849311461570, obst=0.019152709222987806, slab=0.013479913224744912, stairs=0.06297710117279359, stump=0.07932186260510266, gap=0.07932186260510266 regret=0.03739777207374573
BufferLevel with seed=8447060582738306879, obst=0.027539708707916943, slab=0.09395928025460802, stairs=0.07812173779075048, stump=0.02132579938796192, gap=0.02132579938796192 regret=0.034438375383615494
BufferLevel with seed=6220872232033477471, obst=0.06848141747021126, slab=0.005808949015017229, stairs=0.022920247735329514, stump=0.002354700274943422, gap=0.002354700274943422 regret=0.03487129136919975
BufferLevel with seed=6138084020298702806, obst=0.04970503687545771, slab=0.09996719230662969, stairs=0.06679917349409757, stump=0.005987178629585511, gap=0.005987178629585511 regret=0.03610110655426979
BufferLevel with seed=4716927842377609927, obst=0.17391423764063393, slab=0.05355390183015182, stairs=0.04847859885192102, stump=0.055943190331844, gap=0.055943190331844 regret=0.03577088937163353
BufferLevel with seed=6014122034071176851, obst=0.08415737018552734, slab=0.06200450824849801, stairs=0.023111391790457892, stump=0.04351357382900642, gap=0.04351357382900642 regret=0.03734302148222923
BufferLevel with seed=3137485906456788122, obst=0.016384722556909325, slab=0.06130949717741089, stairs=0.0178317463192591, stump=0.03844560247394029, gap=0.03844560247394029 regret=0.03995602950453758
BufferLevel with seed=4911748045172692378, obst=0.1343803434391362, slab=0.0068206905064784225, stairs=0.0539177769432183, stump=0.09869772312065914, gap=0.09869772312065914 regret=0.04048723354935646
BufferLevel with seed=8257202481457559019, obst=0.12953812735985704, slab=0.09905447667816906, stairs=0.028065281534108245, stump=0.06877160693398301, gap=0.06877160693398301 regret=0.039670687168836594
BufferLevel with seed=2808838712919992997, obst=0.2552222560201842, slab=0.03146406888851351, stairs=0.08262039128363424, stump=0.06090194981888958, gap=0.06090194981888958 regret=0.03957298770546913
BufferLevel with seed=5439276505051938875, obst=0.17252074133344455, slab=0.08231647633313717, stairs=0.051146214101077836, stump=0.06182180180315449, gap=0.06182180180315449 regret=0.037237636744976044
BufferLevel with seed=3150205819152834939, obst=0.11594292081021347, slab=0.040537513022099486, stairs=0.08708507829425846, stump=0.004941287724290378, gap=0.004941287724290378 regret=0.03787330910563469
BufferLevel with seed=474953924214381476, obst=0.06478283194464671, slab=0.03361034047718257, stairs=0.06463928028941056, stump=0.010033749873763398, gap=0.010033749873763398 regret=0.041111841797828674
BufferLevel with seed=2302889662697001660, obst=0.24522017588863154, slab=0.08801034003863398, stairs=0.07173103162269795, stump=0.003554253065544866, gap=0.003554253065544866 regret=0.03942975029349327
BufferLevel with seed=2735396608294738917, obst=0.1821906692250116, slab=0.030361887452808912, stairs=0.0692368354326347, stump=0.05674380720798097, gap=0.05674380720798097 regret=0.04193398356437683

---------------------------------------

None * 180
BufferLevel with seed=5677376522141428866, obst=0.13766058619453572, slab=0.006165705659346332, stairs=0.08790750535913543, stump=0.05968197980975448, gap=0.05968197980975448 regret=0.033044517040252686
BufferLevel with seed=8083025200085833793, obst=0.0903981199831256, slab=0.07271834889770783, stairs=0.07771005506233934, stump=0.0052655385361385035, gap=0.0052655385361385035 regret=0.03787994757294655
BufferLevel with seed=6152131080217496808, obst=0.21619735356818254, slab=0.03085130134403652, stairs=0.09809613589753059, stump=0.01026857916635412, gap=0.01026857916635412 regret=None
BufferLevel with seed=3645048166145508822, obst=0.09496032072461276, slab=0.028980009208771442, stairs=0.00612520561774369, stump=0.06999147493362204, gap=0.06999147493362204 regret=0.03705379739403725
BufferLevel with seed=5511999525795652650, obst=0.161249083947877, slab=0.005211105936440097, stairs=0.003314171408430289, stump=0.03981836149474323, gap=0.03981836149474323 regret=0.0361730195581913
BufferLevel with seed=2696247849311461570, obst=0.019152709222987806, slab=0.013479913224744912, stairs=0.06297710117279359, stump=0.07932186260510266, gap=0.07932186260510266 regret=0.03739777207374573
BufferLevel with seed=8447060582738306879, obst=0.027539708707916943, slab=0.09395928025460802, stairs=0.07812173779075048, stump=0.02132579938796192, gap=0.02132579938796192 regret=0.034438375383615494
BufferLevel with seed=6220872232033477471, obst=0.06848141747021126, slab=0.005808949015017229, stairs=0.022920247735329514, stump=0.002354700274943422, gap=0.002354700274943422 regret=0.03487129136919975
BufferLevel with seed=6138084020298702806, obst=0.04970503687545771, slab=0.09996719230662969, stairs=0.06679917349409757, stump=0.005987178629585511, gap=0.005987178629585511 regret=0.03610110655426979
BufferLevel with seed=4716927842377609927, obst=0.17391423764063393, slab=0.05355390183015182, stairs=0.04847859885192102, stump=0.055943190331844, gap=0.055943190331844 regret=0.03577088937163353
BufferLevel with seed=6014122034071176851, obst=0.08415737018552734, slab=0.06200450824849801, stairs=0.023111391790457892, stump=0.04351357382900642, gap=0.04351357382900642 regret=0.03734302148222923
BufferLevel with seed=3137485906456788122, obst=0.016384722556909325, slab=0.06130949717741089, stairs=0.0178317463192591, stump=0.03844560247394029, gap=0.03844560247394029 regret=0.03995602950453758
BufferLevel with seed=4911748045172692378, obst=0.1343803434391362, slab=0.0068206905064784225, stairs=0.0539177769432183, stump=0.09869772312065914, gap=0.09869772312065914 regret=0.04048723354935646
BufferLevel with seed=8257202481457559019, obst=0.12953812735985704, slab=0.09905447667816906, stairs=0.028065281534108245, stump=0.06877160693398301, gap=0.06877160693398301 regret=0.039670687168836594
BufferLevel with seed=2808838712919992997, obst=0.2552222560201842, slab=0.03146406888851351, stairs=0.08262039128363424, stump=0.06090194981888958, gap=0.06090194981888958 regret=0.03957298770546913
BufferLevel with seed=5439276505051938875, obst=0.17252074133344455, slab=0.08231647633313717, stairs=0.051146214101077836, stump=0.06182180180315449, gap=0.06182180180315449 regret=0.037237636744976044
BufferLevel with seed=3150205819152834939, obst=0.11594292081021347, slab=0.040537513022099486, stairs=0.08708507829425846, stump=0.004941287724290378, gap=0.004941287724290378 regret=0.03787330910563469
BufferLevel with seed=474953924214381476, obst=0.06478283194464671, slab=0.03361034047718257, stairs=0.06463928028941056, stump=0.010033749873763398, gap=0.010033749873763398 regret=0.041111841797828674
BufferLevel with seed=2302889662697001660, obst=0.24522017588863154, slab=0.08801034003863398, stairs=0.07173103162269795, stump=0.003554253065544866, gap=0.003554253065544866 regret=0.03942975029349327
BufferLevel with seed=2735396608294738917, obst=0.1821906692250116, slab=0.030361887452808912, stairs=0.0692368354326347, stump=0.05674380720798097, gap=0.05674380720798097 regret=0.039725955575704575

---------------------------------------

None * 180
BufferLevel with seed=5677376522141428866, obst=0.13766058619453572, slab=0.006165705659346332, stairs=0.08790750535913543, stump=0.05968197980975448, gap=0.05968197980975448 regret=0.033044517040252686
BufferLevel with seed=8083025200085833793, obst=0.0903981199831256, slab=0.07271834889770783, stairs=0.07771005506233934, stump=0.0052655385361385035, gap=0.0052655385361385035 regret=0.03787994757294655
BufferLevel with seed=6152131080217496808, obst=0.21619735356818254, slab=0.03085130134403652, stairs=0.09809613589753059, stump=0.01026857916635412, gap=0.01026857916635412 regret=None
BufferLevel with seed=3645048166145508822, obst=0.09496032072461276, slab=0.028980009208771442, stairs=0.00612520561774369, stump=0.06999147493362204, gap=0.06999147493362204 regret=0.03705379739403725
BufferLevel with seed=5511999525795652650, obst=0.161249083947877, slab=0.005211105936440097, stairs=0.003314171408430289, stump=0.03981836149474323, gap=0.03981836149474323 regret=0.0361730195581913
BufferLevel with seed=2696247849311461570, obst=0.019152709222987806, slab=0.013479913224744912, stairs=0.06297710117279359, stump=0.07932186260510266, gap=0.07932186260510266 regret=0.03739777207374573
BufferLevel with seed=8447060582738306879, obst=0.027539708707916943, slab=0.09395928025460802, stairs=0.07812173779075048, stump=0.02132579938796192, gap=0.02132579938796192 regret=0.034438375383615494
BufferLevel with seed=6220872232033477471, obst=0.06848141747021126, slab=0.005808949015017229, stairs=0.022920247735329514, stump=0.002354700274943422, gap=0.002354700274943422 regret=0.03487129136919975
BufferLevel with seed=6138084020298702806, obst=0.04970503687545771, slab=0.09996719230662969, stairs=0.06679917349409757, stump=0.005987178629585511, gap=0.005987178629585511 regret=0.03610110655426979
BufferLevel with seed=4716927842377609927, obst=0.17391423764063393, slab=0.05355390183015182, stairs=0.04847859885192102, stump=0.055943190331844, gap=0.055943190331844 regret=0.03577088937163353
BufferLevel with seed=6014122034071176851, obst=0.08415737018552734, slab=0.06200450824849801, stairs=0.023111391790457892, stump=0.04351357382900642, gap=0.04351357382900642 regret=0.03734302148222923
BufferLevel with seed=3137485906456788122, obst=0.016384722556909325, slab=0.06130949717741089, stairs=0.0178317463192591, stump=0.03844560247394029, gap=0.03844560247394029 regret=0.03995602950453758
BufferLevel with seed=4911748045172692378, obst=0.1343803434391362, slab=0.0068206905064784225, stairs=0.0539177769432183, stump=0.09869772312065914, gap=0.09869772312065914 regret=0.04048723354935646
BufferLevel with seed=8257202481457559019, obst=0.12953812735985704, slab=0.09905447667816906, stairs=0.028065281534108245, stump=0.06877160693398301, gap=0.06877160693398301 regret=0.039670687168836594
BufferLevel with seed=2808838712919992997, obst=0.2552222560201842, slab=0.03146406888851351, stairs=0.08262039128363424, stump=0.06090194981888958, gap=0.06090194981888958 regret=0.03957298770546913
BufferLevel with seed=5439276505051938875, obst=0.17252074133344455, slab=0.08231647633313717, stairs=0.051146214101077836, stump=0.06182180180315449, gap=0.06182180180315449 regret=0.03864549472928047
BufferLevel with seed=3150205819152834939, obst=0.11594292081021347, slab=0.040537513022099486, stairs=0.08708507829425846, stump=0.004941287724290378, gap=0.004941287724290378 regret=0.03787330910563469
BufferLevel with seed=474953924214381476, obst=0.06478283194464671, slab=0.03361034047718257, stairs=0.06463928028941056, stump=0.010033749873763398, gap=0.010033749873763398 regret=0.041111841797828674
BufferLevel with seed=2302889662697001660, obst=0.24522017588863154, slab=0.08801034003863398, stairs=0.07173103162269795, stump=0.003554253065544866, gap=0.003554253065544866 regret=0.03942975029349327
BufferLevel with seed=2735396608294738917, obst=0.1821906692250116, slab=0.030361887452808912, stairs=0.0692368354326347, stump=0.05674380720798097, gap=0.05674380720798097 regret=0.039725955575704575

---------------------------------------

None * 180
BufferLevel with seed=5677376522141428866, obst=0.13766058619453572, slab=0.006165705659346332, stairs=0.08790750535913543, stump=0.05968197980975448, gap=0.05968197980975448 regret=0.033044517040252686
BufferLevel with seed=8083025200085833793, obst=0.0903981199831256, slab=0.07271834889770783, stairs=0.07771005506233934, stump=0.0052655385361385035, gap=0.0052655385361385035 regret=0.03787994757294655
